mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	mc_onset	mn_onset	event	timesig	staff	voice	duration	nominal_duration	scalar	chord_id	articulation	thoroughbass_duration	thoroughbass_level_1	thoroughbass_level_2	thoroughbass_level_3	slur
3	3	12	12	2.0	1	1	Chord	3/2	6	2	1/2	1/2	1	45						
3	3	8	8	4.0	0	0	Chord	3/2	7	1	1	1	1	46						
3	3	12	12	2.0	1	1	Chord	3/2	7	1	1/2	1/2	1	47						
3	3	8	8	4.0	0	0	Chord	3/2	8	1	1	1	1	48						
3	3	12	12	2.0	1	1	Chord	3/2	8	1	1/2	1/2	1	49						
4	4	14	14	4.0	0	0	Chord	3/2	1	1	1	1	1	50						
4	4	18	18	2.0	1	1	Chord	3/2	1	1	1/2	1/2	1	51	ornamentTremblement					
4	4	14	14	4.0	0	0	Chord	3/2	2	1	1	1	1	52						
4	4	18	18	2.0	1	1	Chord	3/2	2	1	1/2	1/2	1	53	ornamentTremblement					
4	4	14	14	4.0	0	0	Chord	3/2	3	1	1	1	1	54						
4	4	18	18	2.0	1	1	Chord	3/2	3	1	1/2	1/2	1	55						
4	4	14	14	4.0	0	0	Chord	3/2	4	1	1	1	1	56						
4	4	18	18	2.0	1	1	Chord	3/2	4	1	1/2	1/2	1	57						
4	4	14	14	4.0	0	0	Chord	3/2	5	1	1	1	1	58						
4	4	18	18	2.0	1	1	Chord	3/2	5	1	1/2	1/2	1	59	ornamentTremblement					
4	4	14	14	4.0	0	0	Chord	3/2	5	2	1	1	1	60						
4	4	18	18	2.0	1	1	Chord	3/2	5	2	1/2	1/2	1	61						
4	4	14	14	4.0	0	0	Chord	3/2	6	1	1	1	1	62						
4	4	18	18	2.0	1	1	Chord	3/2	6	1	1/2	1/2	1	63						
4	4	14	14	4.0	0	0	Chord	3/2	6	2	1	1	1	64						
4	4	18	18	2.0	1	1	Chord	3/2	6	2	1/2	1/2	1	65						
4	4	14	14	4.0	0	0	Chord	3/2	7	1	1	1	1	66						
4	4	18	18	2.0	1	1	Chord	3/2	7	1	1/2	1/2	1	67	ornamentTremblement					
4	4	14	14	4.0	0	0	Chord	3/2	8	1	1	1	1	68						
4	4	18	18	2.0	1	1	Chord	3/2	8	1	1/2	1/2	1	69						
5	5	20	20	4.0	0	0	Chord	3/2	1	1	1	1	1	70						
5	5	24	24	2.0	1	1	Chord	3/2	1	1	1/2	1/2	1	71						
5	5	20	20	4.0	0	0	Chord	3/2	2	1	1	1	1	72						
5	5	24	24	2.0	1	1	Chord	3/2	2	1	1/2	1/2	1	73						
5	5	20	20	4.0	0	0	Chord	3/2	3	1	1	1	1	74						
5	5	24	24	2.0	1	1	Chord	3/2	3	1	1/2	1/2	1	75						
5	5	20	20	4.0	0	0	Chord	3/2	4	1	1	1	1	76						
5	5	24	24	2.0	1	1	Chord	3/2	4	1	1/2	1/2	1	77						
5	5	20	20	4.0	0	0	Chord	3/2	5	1	1	1	1	78						
5	5	24	24	2.0	1	1	Chord	3/2	5	1	1/2	1/2	1	79						
5	5	20	20	4.0	0	0	Chord	3/2	5	2	1	1	1	80						
5	5	24	24	2.0	1	1	Chord	3/2	5	2	1/2	1/2	1	81						
5	5	20	20	4.0	0	0	Chord	3/2	6	1	1	1	1	82						
5	5	24	24	2.0	1	1	Chord	3/2	6	1	1/2	1/2	1	83						
5	5	20	20	4.0	0	0	Chord	3/2	6	2	1	1	1	84						
5	5	24	24	2.0	1	1	Chord	3/2	6	2	1/2	1/2	1	85						
5	5	20	20	4.0	0	0	Chord	3/2	7	1	1	1	1	86						
5	5	24	24	0.0	1	1	FiguredBass	3/2	7	1	0					1/2	2			
5	5	24	24	2.0	1	1	Chord	3/2	7	1	1/2	1/2	1	87						
5	5	20	20	4.0	0	0	Chord	3/2	8	1	1	1	1	88						
5	5	24	24	2.0	1	1	Chord	3/2	8	1	1/2	1/2	1	89						
6	6	26	26	4.0	0	0	Chord	3/2	1	1	1	1	1	90						
6	6	30	30	2.0	1	1	Chord	3/2	1	1	1/2	1/2	1	91	ornamentTremblement					
6	6	26	26	4.0	0	0	Chord	3/2	2	1	1	1	1	92						
6	6	30	30	2.0	1	1	Chord	3/2	2	1	1/2	1/2	1	93						
6	6	26	26	2.0	0	0	Chord	3/2	3	1	1/2	1/2	1	94						0
6	6	28	28	2.0	1/2	1/2	Chord	3/2	3	1	1/2	1/2	1	95						
6	6	30	30	2.0	1	1	Chord	3/2	3	1	1/2	1/2	1	96	ornamentTremblement					
6	6	26	26	2.0	0	0	Chord	3/2	4	1	1/2	1/2	1	97						1
6	6	28	28	2.0	1/2	1/2	Chord	3/2	4	1	1/2	1/2	1	98						
6	6	30	30	2.0	1	1	Chord	3/2	4	1	1/2	1/2	1	99						
6	6	26	26	4.0	0	0	Chord	3/2	5	1	1	1	1	100						
6	6	30	30	2.0	1	1	Chord	3/2	5	1	1/2	1/2	1	101						
6	6	26	26	4.0	0	0	Chord	3/2	5	2	1	1	1	102						
6	6	30	30	2.0	1	1	Chord	3/2	5	2	1/2	1/2	1	103						
6	6	26	26	2.0	0	0	Chord	3/2	6	1	1/2	1/2	1	104						
6	6	28	28	2.0	1/2	1/2	Chord	3/2	6	1	1/2	1/2	1	105						
6	6	30	30	2.0	1	1	Chord	3/2	6	1	1/2	1/2	1	106						
6	6	26	26	2.0	0	0	Chord	3/2	6	2	1/2	1/2	1	107						
6	6	28	28	2.0	1/2	1/2	Chord	3/2	6	2	1/2	1/2	1	108						
6	6	30	30	2.0	1	1	Chord	3/2	6	2	1/2	1/2	1	109						
6	6	26	26	0.0	0	0	FiguredBass	3/2	7	1	0					1	6			
6	6	26	26	4.0	0	0	Chord	3/2	7	1	1	1	1	110						
6	6	30	30	2.0	1	1	Chord	3/2	7	1	1/2	1/2	1	111	ornamentTremblement					
6	6	26	26	2.0	0	0	Chord	3/2	8	1	1/2	1/2	1	112						
6	6	28	28	2.0	1/2	1/2	Chord	3/2	8	1	1/2	1/2	1	113						
6	6	30	30	2.0	1	1	Chord	3/2	8	1	1/2	1/2	1	114						
7	7	32	32	4.0	0	0	Chord	3/2	1	1	1	1	1	115						
7	7	36	36	2.0	1	1	Chord	3/2	1	1	1/2	1/2	1	116						
7	7	32	32	4.0	0	0	Chord	3/2	2	1	1	1	1	117						
7	7	36	36	2.0	1	1	Chord	3/2	2	1	1/2	1/2	1	118						
7	7	32	32	4.0	0	0	Chord	3/2	3	1	1	1	1	119						
7	7	36	36	2.0	1	1	Chord	3/2	3	1	1/2	1/2	1	120						
7	7	32	32	4.0	0	0	Chord	3/2	4	1	1	1	1	121						
7	7	36	36	2.0	1	1	Chord	3/2	4	1	1/2	1/2	1	122						
7	7	32	32	4.0	0	0	Chord	3/2	5	1	1	1	1	123						
7	7	36	36	2.0	1	1	Chord	3/2	5	1	1/2	1/2	1	124						
7	7	32	32	4.0	0	0	Chord	3/2	5	2	1	1	1	125						
7	7	36	36	2.0	1	1	Chord	3/2	5	2	1/2	1/2	1	126						
7	7	32	32	4.0	0	0	Chord	3/2	6	1	1	1	1	127						
7	7	36	36	2.0	1	1	Chord	3/2	6	1	1/2	1/2	1	128						
7	7	32	32	4.0	0	0	Chord	3/2	6	2	1	1	1	129						
7	7	36	36	2.0	1	1	Chord	3/2	6	2	1/2	1/2	1	130						
7	7	32	32	4.0	0	0	Chord	3/2	7	1	1	1	1	131						
7	7	36	36	2.0	1	1	Chord	3/2	7	1	1/2	1/2	1	132						
7	7	32	32	4.0	0	0	Chord	3/2	8	1	1	1	1	133						
7	7	36	36	2.0	1	1	Chord	3/2	8	1	1/2	1/2	1	134						
8	8	38	38	4.0	0	0	Chord	3/2	1	1	1	1	1	135						
8	8	42	42	2.0	1	1	Chord	3/2	1	1	1/2	1/2	1	136						
8	8	38	38	4.0	0	0	Chord	3/2	2	1	1	1	1	137						
8	8	42	42	2.0	1	1	Chord	3/2	2	1	1/2	1/2	1	138						
8	8	38	38	4.0	0	0	Chord	3/2	3	1	1	1	1	139						
8	8	42	42	2.0	1	1	Chord	3/2	3	1	1/2	1/2	1	140						
8	8	38	38	4.0	0	0	Chord	3/2	4	1	1	1	1	141						
8	8	42	42	2.0	1	1	Chord	3/2	4	1	1/2	1/2	1	142						
8	8	38	38	4.0	0	0	Chord	3/2	5	1	1	1	1	143						
8	8	42	42	2.0	1	1	Chord	3/2	5	1	1/2	1/2	1	144						
8	8	38	38	4.0	0	0	Chord	3/2	5	2	1	1	1	145						
8	8	42	42	2.0	1	1	Chord	3/2	5	2	1/2	1/2	1	146						
8	8	38	38	4.0	0	0	Chord	3/2	6	1	1	1	1	147						
8	8	42	42	2.0	1	1	Chord	3/2	6	1	1/2	1/2	1	148						
8	8	38	38	4.0	0	0	Chord	3/2	6	2	1	1	1	149						
8	8	42	42	2.0	1	1	Chord	3/2	6	2	1/2	1/2	1	150						
8	8	38	38	0.0	0	0	FiguredBass	3/2	7	1	0					1	6			
8	8	38	38	4.0	0	0	Chord	3/2	7	1	1	1	1	151						
