mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	mc_onset	mn_onset	event	timesig	staff	voice	duration	nominal_duration	scalar	chord_id	articulation	thoroughbass_duration	thoroughbass_level_1	thoroughbass_level_2
4	4	22	22	2.0	1	1	Chord	3/2	7	1	1/2	1/2	1	102				
4	4	18	18	4.0	0	0	Chord	3/2	8	1	1	1	1	103				
4	4	22	22	2.0	1	1	Chord	3/2	8	1	1/2	1/2	1	104				
5	5	24	24	2.0	0	0	Chord	3/2	1	1	1/2	1/2	1	105				
5	5	26	26	2.0	1/2	1/2	Chord	3/2	1	1	1/2	1/2	1	106				
5	5	28	28	2.0	1	1	Chord	3/2	1	1	1/2	1/2	1	107				
5	5	24	24	2.0	0	0	Chord	3/2	2	1	1/2	1/2	1	108				
5	5	26	26	2.0	1/2	1/2	Chord	3/2	2	1	1/2	1/2	1	109				
5	5	28	28	2.0	1	1	Chord	3/2	2	1	1/2	1/2	1	110				
5	5	24	24	2.0	0	0	Chord	3/2	3	1	1/2	1/2	1	111				
5	5	26	26	2.0	1/2	1/2	Chord	3/2	3	1	1/2	1/2	1	112				
5	5	28	28	2.0	1	1	Chord	3/2	3	1	1/2	1/2	1	113				
5	5	24	24	2.0	0	0	Chord	3/2	4	1	1/2	1/2	1	114				
5	5	26	26	2.0	1/2	1/2	Chord	3/2	4	1	1/2	1/2	1	115				
5	5	28	28	2.0	1	1	Chord	3/2	4	1	1/2	1/2	1	116				
5	5	24	24	2.0	0	0	Chord	3/2	5	1	1/2	1/2	1	117				
5	5	26	26	2.0	1/2	1/2	Chord	3/2	5	1	1/2	1/2	1	118				
5	5	28	28	2.0	1	1	Chord	3/2	5	1	1/2	1/2	1	119				
5	5	24	24	2.0	0	0	Chord	3/2	5	2	1/2	1/2	1	120				
5	5	26	26	2.0	1/2	1/2	Chord	3/2	5	2	1/2	1/2	1	121				
5	5	28	28	2.0	1	1	Chord	3/2	5	2	1/2	1/2	1	122				
5	5	24	24	2.0	0	0	Chord	3/2	6	1	1/2	1/2	1	123				
5	5	26	26	2.0	1/2	1/2	Chord	3/2	6	1	1/2	1/2	1	124				
5	5	28	28	2.0	1	1	Chord	3/2	6	1	1/2	1/2	1	125				
5	5	24	24	2.0	0	0	Chord	3/2	6	2	1/2	1/2	1	126				
5	5	26	26	2.0	1/2	1/2	Chord	3/2	6	2	1/2	1/2	1	127				
5	5	28	28	2.0	1	1	Chord	3/2	6	2	1/2	1/2	1	128				
5	5	24	24	2.0	0	0	Chord	3/2	7	1	1/2	1/2	1	129				
5	5	26	26	0.0	1/2	1/2	FiguredBass	3/2	7	1	0					1/2	7	5
5	5	26	26	2.0	1/2	1/2	Chord	3/2	7	1	1/2	1/2	1	130				
5	5	28	28	2.0	1	1	Chord	3/2	7	1	1/2	1/2	1	131				
5	5	24	24	2.0	0	0	Chord	3/2	8	1	1/2	1/2	1	132				
5	5	26	26	2.0	1/2	1/2	Chord	3/2	8	1	1/2	1/2	1	133				
5	5	28	28	2.0	1	1	Chord	3/2	8	1	1/2	1/2	1	134				
6	6	30	30	2.0	0	0	Chord	3/2	1	1	1/2	1/2	1	135				
6	6	32	32	2.0	1/2	1/2	Chord	3/2	1	1	1/2	1/2	1	136				
6	6	34	34	2.0	1	1	Chord	3/2	1	1	1/2	1/2	1	137				
6	6	30	30	2.0	0	0	Chord	3/2	2	1	1/2	1/2	1	138				
6	6	32	32	2.0	1/2	1/2	Chord	3/2	2	1	1/2	1/2	1	139				
6	6	34	34	2.0	1	1	Chord	3/2	2	1	1/2	1/2	1	140				
6	6	30	30	2.0	0	0	Chord	3/2	3	1	1/2	1/2	1	141				
6	6	32	32	2.0	1/2	1/2	Chord	3/2	3	1	1/2	1/2	1	142				
6	6	34	34	2.0	1	1	Chord	3/2	3	1	1/2	1/2	1	143				
6	6	30	30	2.0	0	0	Chord	3/2	4	1	1/2	1/2	1	144				
6	6	32	32	2.0	1/2	1/2	Chord	3/2	4	1	1/2	1/2	1	145				
6	6	34	34	2.0	1	1	Chord	3/2	4	1	1/2	1/2	1	146				
6	6	30	30	2.0	0	0	Chord	3/2	5	1	1/2	1/2	1	147				
6	6	32	32	2.0	1/2	1/2	Chord	3/2	5	1	1/2	1/2	1	148				
6	6	34	34	2.0	1	1	Chord	3/2	5	1	1/2	1/2	1	149				
6	6	30	30	2.0	0	0	Chord	3/2	5	2	1/2	1/2	1	150				
6	6	32	32	4.0	1/2	1/2	Chord	3/2	5	2	1	1	1	151				
6	6	30	30	2.0	0	0	Chord	3/2	6	1	1/2	1/2	1	152				
6	6	32	32	2.0	1/2	1/2	Chord	3/2	6	1	1/2	1/2	1	153				
6	6	34	34	2.0	1	1	Chord	3/2	6	1	1/2	1/2	1	154				
6	6	30	30	4.0	0	0	Chord	3/2	6	2	1	1	1	155				
6	6	34	34	2.0	1	1	Chord	3/2	6	2	1/2	1/2	1	156				
6	6	30	30	0.0	0	0	FiguredBass	3/2	7	1	0					1/2	5	
6	6	30	30	2.0	0	0	Chord	3/2	7	1	1/2	1/2	1	157				
6	6	32	32	0.0	1/2	1/2	FiguredBass	3/2	7	1	0					1/2	4h	
6	6	32	32	2.0	1/2	1/2	Chord	3/2	7	1	1/2	1/2	1	158				
6	6	34	34	0.0	1	1	FiguredBass	3/2	7	1	0					1/2	6	
6	6	34	34	2.0	1	1	Chord	3/2	7	1	1/2	1/2	1	159				
6	6	30	30	4.0	0	0	Chord	3/2	8	1	1	1	1	160				
6	6	34	34	2.0	1	1	Chord	3/2	8	1	1/2	1/2	1	161				
7	7	36	36	2.0	0	0	Chord	3/2	1	1	1/2	1/2	1	162				
7	7	38	38	2.0	1/2	1/2	Chord	3/2	1	1	1/2	1/2	1	163				
7	7	40	40	2.0	1	1	Chord	3/2	1	1	1/2	1/2	1	164	ornamentTremblement			
7	7	36	36	2.0	0	0	Chord	3/2	2	1	1/2	1/2	1	165				
7	7	38	38	2.0	1/2	1/2	Chord	3/2	2	1	1/2	1/2	1	166				
7	7	40	40	2.0	1	1	Chord	3/2	2	1	1/2	1/2	1	167	ornamentTremblement			
7	7	36	36	2.0	0	0	Chord	3/2	3	1	1/2	1/2	1	168				
7	7	38	38	2.0	1/2	1/2	Chord	3/2	3	1	1/2	1/2	1	169				
7	7	40	40	2.0	1	1	Chord	3/2	3	1	1/2	1/2	1	170				
7	7	36	36	2.0	0	0	Chord	3/2	4	1	1/2	1/2	1	171				
7	7	38	38	2.0	1/2	1/2	Chord	3/2	4	1	1/2	1/2	1	172				
7	7	40	40	2.0	1	1	Chord	3/2	4	1	1/2	1/2	1	173				
7	7	36	36	2.0	0	0	Chord	3/2	5	1	1/2	1/2	1	174				
7	7	38	38	2.0	1/2	1/2	Chord	3/2	5	1	1/2	1/2	1	175				
7	7	40	40	2.0	1	1	Chord	3/2	5	1	1/2	1/2	1	176	ornamentTremblement			
7	7	36	36	4.0	0	0	Chord	3/2	5	2	1	1	1	177				
7	7	40	40	2.0	1	1	Chord	3/2	5	2	1/2	1/2	1	178				
7	7	36	36	2.0	0	0	Chord	3/2	6	1	1/2	1/2	1	179				
7	7	38	38	4.0	1/2	1/2	Chord	3/2	6	1	1	1	1	180				
7	7	36	36	2.0	0	0	Chord	3/2	6	2	1/2	1/2	1	181				
7	7	38	38	2.0	1/2	1/2	Chord	3/2	6	2	1/2	1/2	1	182				
7	7	40	40	2.0	1	1	Chord	3/2	6	2	1/2	1/2	1	183				
7	7	36	36	2.0	0	0	Chord	3/2	7	1	1/2	1/2	1	184				
7	7	38	38	0.0	1/2	1/2	FiguredBass	3/2	7	1	0					1/2	6	
7	7	38	38	2.0	1/2	1/2	Chord	3/2	7	1	1/2	1/2	1	185				
7	7	40	40	0.0	1	1	FiguredBass	3/2	7	1	0					1/2	h	
7	7	40	40	2.0	1	1	Chord	3/2	7	1	1/2	1/2	1	186	ornamentTremblement			
7	7	36	36	2.0	0	0	Chord	3/2	8	1	1/2	1/2	1	187				
7	7	38	38	2.0	1/2	1/2	Chord	3/2	8	1	1/2	1/2	1	188				
7	7	40	40	2.0	1	1	Chord	3/2	8	1	1/2	1/2	1	189				
8	8	42	42	6.0	0	0	Chord	3/2	1	1	3/2	1	3/2	190				
8	8	42	42	6.0	0	0	Chord	3/2	2	1	3/2	1	3/2	191				
8	8	42	42	6.0	0	0	Chord	3/2	3	1	3/2	1	3/2	192				
8	8	42	42	6.0	0	0	Chord	3/2	4	1	3/2	1	3/2	193				
8	8	42	42	6.0	0	0	Chord	3/2	5	1	3/2	1	3/2	194				
8	8	42	42	6.0	0	0	Chord	3/2	5	2	3/2	1	3/2	195				
8	8	42	42	6.0	0	0	Chord	3/2	6	1	3/2	1	3/2	196				
8	8	42	42	6.0	0	0	Chord	3/2	6	2	3/2	1	3/2	197				
8	8	42	42	6.0	0	0	Chord	3/2	7	1	3/2	1	3/2	198				
8	8	42	42	6.0	0	0	Chord	3/2	8	1	3/2	1	3/2	199				
9	9	48	48	2.0	0	0	Chord	3/2	1	1	1/2	1/2	1	200				
9	9	50	50	2.0	1/2	1/2	Chord	3/2	1	1	1/2	1/2	1	201				
9	9	52	52	2.0	1	1	Chord	3/2	1	1	1/2	1/2	1	202				
9	9	48	48	2.0	0	0	Chord	3/2	2	1	1/2	1/2	1	203				
9	9	50	50	2.0	1/2	1/2	Chord	3/2	2	1	1/2	1/2	1	204				
9	9	52	52	2.0	1	1	Chord	3/2	2	1	1/2	1/2	1	205				
9	9	48	48	2.0	0	0	Chord	3/2	3	1	1/2	1/2	1	206				
9	9	50	50	2.0	1/2	1/2	Chord	3/2	3	1	1/2	1/2	1	207				
9	9	52	52	2.0	1	1	Chord	3/2	3	1	1/2	1/2	1	208				
9	9	48	48	2.0	0	0	Chord	3/2	4	1	1/2	1/2	1	209				
9	9	50	50	2.0	1/2	1/2	Chord	3/2	4	1	1/2	1/2	1	210				
9	9	52	52	2.0	1	1	Chord	3/2	4	1	1/2	1/2	1	211				
9	9	48	48	2.0	0	0	Chord	3/2	5	1	1/2	1/2	1	212				
9	9	50	50	2.0	1/2	1/2	Chord	3/2	5	1	1/2	1/2	1	213				
9	9	52	52	2.0	1	1	Chord	3/2	5	1	1/2	1/2	1	214				
9	9	48	48	2.0	0	0	Chord	3/2	5	2	1/2	1/2	1	215				
9	9	50	50	2.0	1/2	1/2	Chord	3/2	5	2	1/2	1/2	1	216				
9	9	52	52	2.0	1	1	Chord	3/2	5	2	1/2	1/2	1	217				
9	9	48	48	2.0	0	0	Chord	3/2	6	1	1/2	1/2	1	218				
9	9	50	50	2.0	1/2	1/2	Chord	3/2	6	1	1/2	1/2	1	219				
9	9	52	52	2.0	1	1	Chord	3/2	6	1	1/2	1/2	1	220				
9	9	48	48	4.0	0	0	Chord	3/2	6	2	1	1	1	221				
9	9	52	52	2.0	1	1	Chord	3/2	6	2	1/2	1/2	1	222				
9	9	48	48	2.0	0	0	Chord	3/2	7	1	1/2	1/2	1	223				
9	9	50	50	2.0	1/2	1/2	Chord	3/2	7	1	1/2	1/2	1	224				
9	9	52	52	0.0	1	1	FiguredBass	3/2	7	1	0					1/2	#	
9	9	52	52	2.0	1	1	Chord	3/2	7	1	1/2	1/2	1	225				
9	9	48	48	4.0	0	0	Chord	3/2	8	1	1	1	1	226				
9	9	52	52	2.0	1	1	Chord	3/2	8	1	1/2	1/2	1	227				
10	10	54	54	2.0	0	0	Chord	3/2	1	1	1/2	1/2	1	228				
10	10	56	56	2.0	1/2	1/2	Chord	3/2	1	1	1/2	1/2	1	229				
10	10	58	58	2.0	1	1	Chord	3/2	1	1	1/2	1/2	1	230				
10	10	54	54	2.0	0	0	Chord	3/2	2	1	1/2	1/2	1	231				
10	10	56	56	2.0	1/2	1/2	Chord	3/2	2	1	1/2	1/2	1	232				
10	10	58	58	2.0	1	1	Chord	3/2	2	1	1/2	1/2	1	233				
10	10	54	54	2.0	0	0	Chord	3/2	3	1	1/2	1/2	1	234				
10	10	56	56	2.0	1/2	1/2	Chord	3/2	3	1	1/2	1/2	1	235				
10	10	58	58	2.0	1	1	Chord	3/2	3	1	1/2	1/2	1	236				
10	10	54	54	2.0	0	0	Chord	3/2	4	1	1/2	1/2	1	237				
10	10	56	56	2.0	1/2	1/2	Chord	3/2	4	1	1/2	1/2	1	238				
10	10	58	58	2.0	1	1	Chord	3/2	4	1	1/2	1/2	1	239				
10	10	54	54	2.0	0	0	Chord	3/2	5	1	1/2	1/2	1	240				
10	10	56	56	2.0	1/2	1/2	Chord	3/2	5	1	1/2	1/2	1	241				
10	10	58	58	2.0	1	1	Chord	3/2	5	1	1/2	1/2	1	242				
10	10	54	54	2.0	0	0	Chord	3/2	5	2	1/2	1/2	1	243				
10	10	56	56	2.0	1/2	1/2	Chord	3/2	5	2	1/2	1/2	1	244				
10	10	58	58	2.0	1	1	Chord	3/2	5	2	1/2	1/2	1	245				
10	10	54	54	2.0	0	0	Chord	3/2	6	1	1/2	1/2	1	246				
10	10	56	56	2.0	1/2	1/2	Chord	3/2	6	1	1/2	1/2	1	247				
10	10	58	58	2.0	1	1	Chord	3/2	6	1	1/2	1/2	1	248				
10	10	54	54	2.0	0	0	Chord	3/2	6	2	1/2	1/2	1	249				
10	10	56	56	2.0	1/2	1/2	Chord	3/2	6	2	1/2	1/2	1	250				
10	10	58	58	2.0	1	1	Chord	3/2	6	2	1/2	1/2	1	251				
10	10	54	54	0.0	0	0	FiguredBass	3/2	7	1	0					1/2	7	5
10	10	54	54	2.0	0	0	Chord	3/2	7	1	1/2	1/2	1	252				
10	10	56	56	0.0	1/2	1/2	FiguredBass	3/2	7	1	0					1/2	6	
10	10	56	56	2.0	1/2	1/2	Chord	3/2	7	1	1/2	1/2	1	253				
10	10	58	58	0.0	1	1	FiguredBass	3/2	7	1	0					1/2	6	
10	10	58	58	2.0	1	1	Chord	3/2	7	1	1/2	1/2	1	254				
10	10	54	54	2.0	0	0	Chord	3/2	8	1	1/2	1/2	1	255				
10	10	56	56	2.0	1/2	1/2	Chord	3/2	8	1	1/2	1/2	1	256				
10	10	58	58	2.0	1	1	Chord	3/2	8	1	1/2	1/2	1	257				
11	11	60	60	2.0	0	0	Chord	3/2	1	1	1/2	1/2	1	258				
11	11	62	62	2.0	1/2	1/2	Chord	3/2	1	1	1/2	1/2	1	259				
11	11	64	64	2.0	1	1	Chord	3/2	1	1	1/2	1/2	1	260	ornamentTremblement			
11	11	60	60	2.0	0	0	Chord	3/2	2	1	1/2	1/2	1	261				
11	11	62	62	2.0	1/2	1/2	Chord	3/2	2	1	1/2	1/2	1	262				
11	11	64	64	2.0	1	1	Chord	3/2	2	1	1/2	1/2	1	263	ornamentTremblement			
11	11	60	60	2.0	0	0	Chord	3/2	3	1	1/2	1/2	1	264				
11	11	62	62	2.0	1/2	1/2	Chord	3/2	3	1	1/2	1/2	1	265				
11	11	64	64	2.0	1	1	Chord	3/2	3	1	1/2	1/2	1	266				
11	11	60	60	2.0	0	0	Chord	3/2	4	1	1/2	1/2	1	267				
11	11	62	62	2.0	1/2	1/2	Chord	3/2	4	1	1/2	1/2	1	268				
11	11	64	64	2.0	1	1	Chord	3/2	4	1	1/2	1/2	1	269				
11	11	60	60	2.0	0	0	Chord	3/2	5	1	1/2	1/2	1	270				
11	11	62	62	2.0	1/2	1/2	Chord	3/2	5	1	1/2	1/2	1	271				
11	11	64	64	2.0	1	1	Chord	3/2	5	1	1/2	1/2	1	272	ornamentTremblement			
11	11	60	60	2.0	0	0	Chord	3/2	5	2	1/2	1/2	1	273				
11	11	62	62	2.0	1/2	1/2	Chord	3/2	5	2	1/2	1/2	1	274				
11	11	64	64	2.0	1	1	Chord	3/2	5	2	1/2	1/2	1	275				
11	11	60	60	2.0	0	0	Chord	3/2	6	1	1/2	1/2	1	276				
11	11	62	62	4.0	1/2	1/2	Chord	3/2	6	1	1	1	1	277				
11	11	60	60	2.0	0	0	Chord	3/2	6	2	1/2	1/2	1	278				
11	11	62	62	2.0	1/2	1/2	Chord	3/2	6	2	1/2	1/2	1	279				
11	11	64	64	2.0	1	1	Chord	3/2	6	2	1/2	1/2	1	280				
11	11	60	60	2.0	0	0	Chord	3/2	7	1	1/2	1/2	1	281				
11	11	62	62	0.0	1/2	1/2	FiguredBass	3/2	7	1	0					1/2	5	
11	11	62	62	2.0	1/2	1/2	Chord	3/2	7	1	1/2	1/2	1	282				
11	11	64	64	2.0	1	1	Chord	3/2	7	1	1/2	1/2	1	283	ornamentTremblement			
11	11	60	60	2.0	0	0	Chord	3/2	8	1	1/2	1/2	1	284				
11	11	62	62	2.0	1/2	1/2	Chord	3/2	8	1	1/2	1/2	1	285				
11	11	64	64	2.0	1	1	Chord	3/2	8	1	1/2	1/2	1	286				
12	12	66	66	4.0	0	0	Chord	3/2	1	1	1	1	1	287				
12	12	70	70	2.0	1	1	Chord	3/2	1	1	1/2	1/2	1	288				
12	12	66	66	4.0	0	0	Chord	3/2	2	1	1	1	1	289				
12	12	70	70	2.0	1	1	Chord	3/2	2	1	1/2	1/2	1	290				
12	12	66	66	2.0	0	0	Chord	3/2	3	1	1/2	1/2	1	291				
12	12	68	68	4.0	1/2	1/2	Chord	3/2	3	1	1	1	1	292				
12	12	66	66	2.0	0	0	Chord	3/2	4	1	1/2	1/2	1	293				
12	12	68	68	4.0	1/2	1/2	Chord	3/2	4	1	1	1	1	294				
12	12	66	66	4.0	0	0	Chord	3/2	5	1	1	1	1	295				
12	12	70	70	2.0	1	1	Chord	3/2	5	1	1/2	1/2	1	296				
12	12	66	66	4.0	0	0	Chord	3/2	5	2	1	1	1	297				
12	12	70	70	2.0	1	1	Chord	3/2	5	2	1/2	1/2	1	298				
12	12	66	66	2.0	0	0	Chord	3/2	6	1	1/2	1/2	1	299				
12	12	68	68	4.0	1/2	1/2	Chord	3/2	6	1	1	1	1	300				
12	12	66	66	2.0	0	0	Chord	3/2	6	2	1/2	1/2	1	301				
12	12	68	68	4.0	1/2	1/2	Chord	3/2	6	2	1	1	1	302				
12	12	66	66	0.0	0	0	FiguredBass	3/2	7	1	0					1	5	
12	12	66	66	4.0	0	0	Chord	3/2	7	1	1	1	1	303				
12	12	70	70	0.0	1	1	FiguredBass	3/2	7	1	0					1/2	4	
12	12	70	70	2.0	1	1	Chord	3/2	7	1	1/2	1/2	1	304				
12	12	72	72	0.0	3/2	3/2	FiguredBass	3/2	7	1	0					1/2	3	
12	12	66	66	2.0	0	0	Chord	3/2	8	1	1/2	1/2	1	305				
12	12	68	68	4.0	1/2	1/2	Chord	3/2	8	1	1	1	1	306				
13	13	72	72	2.0	0	0	Chord	3/2	1	1	1/2	1/2	1	307				
13	13	74	74	2.0	1/2	1/2	Chord	3/2	1	1	1/2	1/2	1	308				
