mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	mc_onset	mn_onset	event	timesig	staff	voice	duration	nominal_duration	scalar	chord_id	articulation	thoroughbass_duration	thoroughbass_level_1	thoroughbass_level_2	thoroughbass_level_3	slur
2	2	8	8	2.0	1/2	1/2	Chord	3/2	6	1	1/2	1/2	1	45						
2	2	10	10	2.0	1	1	Chord	3/2	6	1	1/2	1/2	1	46						
2	2	6	6	0.0	0	0	FiguredBass	3/2	7	1	0					1	6			
2	2	6	6	4.0	0	0	Chord	3/2	7	1	1	1	1	47						
2	2	10	10	0.0	1	1	FiguredBass	3/2	7	1	0					1/2	4			
2	2	10	10	2.0	1	1	Chord	3/2	7	1	1/2	1/2	1	48						
2	2	12	12	0.0	3/2	3/2	FiguredBass	3/2	7	1	0					1/2	6			
2	2	6	6	2.0	0	0	Chord	3/2	8	1	1/2	1/2	1	49						
2	2	8	8	2.0	1/2	1/2	Chord	3/2	8	1	1/2	1/2	1	50						
2	2	10	10	2.0	1	1	Chord	3/2	8	1	1/2	1/2	1	51						
3	3	12	12	4.0	0	0	Chord	3/2	1	1	1	1	1	52						
3	3	16	16	2.0	1	1	Chord	3/2	1	1	1/2	1/2	1	53	ornamentTremblement					
3	3	12	12	4.0	0	0	Chord	3/2	2	1	1	1	1	54						
3	3	16	16	2.0	1	1	Chord	3/2	2	1	1/2	1/2	1	55						
3	3	12	12	4.0	0	0	Chord	3/2	3	1	1	1	1	56						
3	3	16	16	2.0	1	1	Chord	3/2	3	1	1/2	1/2	1	57	ornamentTremblement					
3	3	12	12	4.0	0	0	Chord	3/2	4	1	1	1	1	58						
3	3	16	16	2.0	1	1	Chord	3/2	4	1	1/2	1/2	1	59						
3	3	12	12	4.0	0	0	Chord	3/2	5	1	1	1	1	60						
3	3	16	16	2.0	1	1	Chord	3/2	5	1	1/2	1/2	1	61						
3	3	12	12	4.0	0	0	Chord	3/2	5	2	1	1	1	62						
3	3	16	16	2.0	1	1	Chord	3/2	5	2	1/2	1/2	1	63						
3	3	12	12	4.0	0	0	Chord	3/2	5	3	1	1	1	64						
3	3	16	16	2.0	1	1	Chord	3/2	5	3	1/2	1/2	1	65						
3	3	12	12	6.0	0	0	Chord	3/2	6	1	3/2	1	3/2	66						
3	3	12	12	0.0	0	0	FiguredBass	3/2	7	1	0					1	#			
3	3	12	12	4.0	0	0	Chord	3/2	7	1	1	1	1	67						
3	3	16	16	2.0	1	1	Chord	3/2	7	1	1/2	1/2	1	68	ornamentTremblement					
3	3	12	12	6.0	0	0	Chord	3/2	8	1	3/2	1	3/2	69						
4	4	18	18	4.0	0	0	Chord	3/2	1	1	1	1	1	70						
4	4	22	22	2.0	1	1	Chord	3/2	1	1	1/2	1/2	1	71						
4	4	18	18	4.0	0	0	Chord	3/2	2	1	1	1	1	72						
4	4	22	22	2.0	1	1	Chord	3/2	2	1	1/2	1/2	1	73						
4	4	18	18	4.0	0	0	Chord	3/2	3	1	1	1	1	74						
4	4	22	22	2.0	1	1	Chord	3/2	3	1	1/2	1/2	1	75						
4	4	18	18	4.0	0	0	Chord	3/2	4	1	1	1	1	76						
4	4	22	22	2.0	1	1	Chord	3/2	4	1	1/2	1/2	1	77						
4	4	18	18	4.0	0	0	Chord	3/2	5	1	1	1	1	78						
4	4	22	22	2.0	1	1	Chord	3/2	5	1	1/2	1/2	1	79						
4	4	18	18	4.0	0	0	Chord	3/2	5	2	1	1	1	80						
4	4	22	22	2.0	1	1	Chord	3/2	5	2	1/2	1/2	1	81						
4	4	18	18	4.0	0	0	Chord	3/2	5	3	1	1	1	82						
4	4	22	22	2.0	1	1	Chord	3/2	5	3	1/2	1/2	1	83						
4	4	18	18	6.0	0	0	Chord	3/2	6	1	3/2	1	3/2	84						
4	4	18	18	4.0	0	0	Chord	3/2	7	1	1	1	1	85						
4	4	22	22	2.0	1	1	Chord	3/2	7	1	1/2	1/2	1	86						
